disease,symptom,freq
(vertigo) Paroymsal  Positional Vertigo,vomiting,0.95
(vertigo) Paroymsal  Positional Vertigo,headache,0.95
(vertigo) Paroymsal  Positional Vertigo,nausea,0.95
(vertigo) Paroymsal  Positional Vertigo,loss_of_balance,0.95
(vertigo) Paroymsal  Positional Vertigo,unsteadiness,0.95
(vertigo) Paroymsal  Positional Vertigo,spinning_movements,0.9
AIDS,high_fever,0.95
AIDS,muscle_wasting,0.9
AIDS,patches_in_throat,0.9
AIDS,extra_marital_contacts,0.9
Acne,skin_rash,0.95
Acne,pus_filled_pimples,0.9
Acne,blackheads,0.9
Acne,scurring,0.9
Alcoholic hepatitis,vomiting,0.95
Alcoholic hepatitis,yellowish_skin,0.95
Alcoholic hepatitis,abdominal_pain,0.95
Alcoholic hepatitis,swelling_of_stomach,0.95
Alcoholic hepatitis,distention_of_abdomen,0.95
Alcoholic hepatitis,history_of_alcohol_consumption,0.95
Alcoholic hepatitis,fluid_overload.1,0.95
Allergy,continuous_sneezing,0.9
Allergy,shivering,0.9
Allergy,chills,0.9
Allergy,watering_from_eyes,0.9
Arthritis,muscle_weakness,0.95
Arthritis,stiff_neck,0.95
Arthritis,swelling_joints,0.95
Arthritis,movement_stiffness,0.95
Arthritis,painful_walking,0.95
Bronchial Asthma,high_fever,0.95
Bronchial Asthma,breathlessness,0.95
Bronchial Asthma,family_history,0.95
Bronchial Asthma,mucoid_sputum,0.95
Bronchial Asthma,fatigue,0.9
Bronchial Asthma,cough,0.9
Cervical spondylosis,neck_pain,0.95
Cervical spondylosis,dizziness,0.95
Cervical spondylosis,loss_of_balance,0.95
Cervical spondylosis,back_pain,0.9
Cervical spondylosis,weakness_in_limbs,0.9
Chicken pox,malaise,1.0
Chicken pox,red_spots_over_body,1.0
Chicken pox,itching,0.95
Chicken pox,skin_rash,0.95
Chicken pox,fatigue,0.95
Chicken pox,lethargy,0.95
Chicken pox,high_fever,0.95
Chicken pox,headache,0.95
Chicken pox,loss_of_appetite,0.95
Chicken pox,mild_fever,0.95
Chicken pox,swelled_lymph_nodes,0.95
Chronic cholestasis,itching,0.95
Chronic cholestasis,vomiting,0.95
Chronic cholestasis,yellowish_skin,0.95
Chronic cholestasis,nausea,0.95
Chronic cholestasis,loss_of_appetite,0.95
Chronic cholestasis,abdominal_pain,0.95
Chronic cholestasis,yellowing_of_eyes,0.95
Common Cold,phlegm,1.0
Common Cold,throat_irritation,1.0
