province,hospital_th,hospital_en,h_code,affiliation,hospital_type,beds,specialty_note,health_region
ชัยภูมิ,โรงพยาบาลซับใหญ่,SUBYAI HOSPITAL,4007,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),5.0,,9
พระนครศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA HOSPITAL,10660,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),524.0,,4
สระบุรี,โรงพยาบาลสระบุรี,SARABURI HOSPITAL,10661,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),700.0,ความเชี่ยวชาญพิเศษ,4
ชลบุรี,โรงพยาบาลชลบุรี,CHONBURI HOSPITAL,10662,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),850.0,,6
ระยอง,โรงพยาบาลระยอง,RAYONG HOSPITAL,10663,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),620.0,การบริการทางการแพทย์ด้านตติยภูมิ การบริการด้านอาชีวเวชศาตร์  และระบบการจัดการภาวะฉุกเฉิน  ,6
จันทบุรี,โรงพยาบาลพระปกเกล้า,PRAPOKKLAO HOSPITAL,10664,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),840.0,,6
ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,CHAOPHYA ABHAI BHUBEJHR HOSPITAL ,10665,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),500.0,<br />1.	การดูแลผู้ป่วยโรคหัวใจโดยการสวนหัวใจและหลอดเลือด<br />2.	การดูแลโรคหลอดเลือดสมองแบบครบวงจร รวมถึงการการดูแลแบบผสมผสานกับการแพทย์แผนไทย<br />3.	การดูแลโรคระบบทางเดินหายใจที่มีภาวะการหายใจล้มเหลว (Respiratory Failure)<br />4.	การดูแลผู้ป่วยวิกฤตและผู้ป่วยฉุกเฉินแบบครบวงจร<br />5.	การดูแลทารกแรกเกิดที่มีน้ำหนักน้อยและมีภาวะแทรกซ้อน<br />6.	การดูแลผู้ป่วยโดยใช้การแพทย์แผนไทย สมุนไพร และการแพทย์ผสมผสาน<br />7.	การดูแลผู้ป่วยผ่าตัดแบบวันเดียวกลับ (One Day Surgery : ODS) และ minimal invasive surgery (MIS),6
นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,MAHARAT NAKHON RATCHASIMA HOSPITAL,10666,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1300.0,,9
บุรีรัมย์,โรงพยาบาลบุรีรัมย์,BURIRAM HOSPITAL,10667,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),887.0,,9
สุรินทร์,โรงพยาบาลสุรินทร์,SURIN HOPITAL,10668,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),914.0,ให้บริการ Excellence Center 5 สาขา ได้แก่ สาขาอุบัติเหตุและฉุกเฉิน สาขาโรคมะเร็ง สาขาหัวใจ สาขาทารกแรกเกิด สาขาปลูกถ่ายอวัยวะ,9
